id,answer,unit,gold_answer,gold_unit,status,numeric_ok,unit_ok,relative_error,absolute_error,error
physics_TD387,,,2.140,uF,pipeline_error,,,,,float division by zero
physics_TD027,,,3.36,nC,pipeline_error,,,,,division by zero
physics_TD005,,,1.2,nC,pipeline_error,,,,,division by zero
physics_TD069,,,5.27,nC,pipeline_error,,,,,division by zero
physics_TD363,,,10,V,pipeline_error,,,,,'NoneType' object has no attribute 'quantity'
physics_TD021,,,5.23,nC,pipeline_error,,,,,division by zero
physics_TD375,,,22.36,V,pipeline_error,,,,,type2_pot_solver_failed
physics_TD007,,,1200,V,pipeline_error,,,,,division by zero
physics_TD006,,,1,pF,pipeline_error,,,,,division by zero
physics_TD378,,,15.81,V,pipeline_error,,,,,'NoneType' object has no attribute 'quantity'
physics_TD398,,,1.66,nJ,pipeline_error,,,,,type2_pot_solver_failed
physics_TD367,,,4,lần,pipeline_error,,,,,'NoneType' object has no attribute 'quantity'
physics_TD392,3.54168e-06,J,0.354,J/m³,unit_mismatch,False,False,0.9999899952542373,0.35399645832,
physics_TD166,,,3.005,nC,pipeline_error,,,,,division by zero
physics_TD374,0.000216,J,0; 0,uC; uJ,unit_mismatch,False,False,215999.99999999997,0.000216,
physics_TD039,,,0.6,nC,pipeline_error,,,,,division by zero
physics_TD389,,,7.23*10^4,mN,pipeline_error,,,,,division by zero
physics_TD373,0.0004,J,50%,,wrong_numeric,False,,0.999992,49.9996,
physics_TD385,2e-06,J,4.000,uJ,wrong_numeric,False,True,0.5,2.0,
physics_TD386,,,decreases by half,,pipeline_error,,,,,'NoneType' object has no attribute 'quantity'
physics_TD090,,,2.38,nC,pipeline_error,,,,,division by zero
physics_TD087,,,2.54,nC,pipeline_error,,,,,division by zero
physics_TD066,,,2.61,nC,pipeline_error,,,,,division by zero
physics_TD010,,,100,V,pipeline_error,,,,,division by zero
physics_TD030,,,0.63,nC,pipeline_error,,,,,division by zero
physics_TD091,,,2.085,uC,pipeline_error,,,,,type2_pot_solver_failed
physics_LD297,3.66923e+07,N/C,1.84*10^7,V/m,wrong_numeric,False,True,0.9941467391304348,18292300.0,
physics_LD100,0,N/C,5.67 × 10^6,V/m,wrong_numeric,False,True,1.0,5670000.0,
physics_LD340,2.25254e+06,N/C,8.87*10^6,V/m,wrong_numeric,False,True,0.7460496054114995,6617460.0,
physics_LD399,4.91452e+07,N/C,18.07 × 10^6,V/m,wrong_numeric,False,True,1.7197122302158274,31075200.0,
physics_LD150,,,36.32,N,pipeline_error,,,,,'NoneType' object has no attribute 'upper'
physics_LD041,1.79751e+12,N,\sqrt{2} × F₀,N,wrong_numeric,False,True,898754999999.0,1797509999998.0,
physics_LD327,34846,N/C,4.36 × 10^7,V/m,wrong_numeric,False,True,0.9992007798165138,43565154.0,
physics_LD084,,,0,V/m,pipeline_error,,,,,type2_pot_solver_failed
physics_LD345,4.41405e+06,N/C,5.608*10^7,V/m,wrong_numeric,False,True,0.9212901212553495,51665950.0,
physics_LD353,5.61206e+07,N/C,6.02 × 10^7,V/m,wrong_numeric,False,True,0.06776411960132879,4079399.9999999925,
physics_LD333,,,9.18 × 10^6,V/m,pipeline_error,,,,,type2_pot_solver_failed
physics_LD088,0,V/m,73718,V/m,wrong_numeric,False,True,1.0,73718.0,
physics_LD329,2.112954,N,1.76 × 10^6,V/m,unit_mismatch,False,False,0.9999987994579546,1759997.887046,
physics_LD287,,,1.028,N,pipeline_error,,,,,'NoneType' object has no attribute 'upper'
physics_LD114,0.009599,N,5.625*10^-3,N,wrong_numeric,False,True,0.7064888888888889,0.003974,
physics_LD354,1.23139e+07,N/C,1.155*10^7,V/m,wrong_numeric,False,True,0.06613852813852814,763900.0,
physics_LD397,2.22473e+06,N/C,3.15*10^6,V/m,wrong_numeric,False,True,0.29373650793650796,925270.0,
physics_LD119,0.014381,N,12*10^-3,N,wrong_numeric,False,True,0.1984166666666666,0.0023809999999999994,
physics_LD034,7.98893e-06,N,4 × 10^-6,N,wrong_numeric,False,True,0.9972325,3.98893e-06,
physics_DT060,0.785398,rad,1/4 \pi,rad,wrong_numeric,False,True,0.21460199999999996,0.21460199999999996,
physics_DT047,,,1/2 . (1/ \sqrt{E_A} + 1/ \sqrt{E_B}),,pipeline_error,,,,,type2_pot_solver_failed
physics_DT096,39944.7,N/C,0,N/C,wrong_numeric,False,True,39944699999999.99,39944.7,
physics_DT082,2.54206e+06,N/C,1272792.21,V/m,wrong_numeric,False,True,0.9972309541397963,1269267.79,
physics_DT091,39.320539,N/C,100,V/m,wrong_numeric,False,True,0.60679461,60.679461,
physics_DT020,7.19004e+10,N/C,\frac{4 \sqrt{2} k q}{\epsilon a^2},V/m,wrong_numeric,False,True,17975099999.0,71900399996.0,
physics_DT034,2.5907e+06,N/C,27.6,cm,unit_mismatch,False,False,93864.9420289855,2590672.4,
physics_DT019,2.54206e+10,N/C,0,V/m,wrong_numeric,False,True,2.5420600000000004e+19,25420600000.000004,
physics_DT075,,,0,N/C,pipeline_error,,,,,type2_pot_solver_failed
physics_DT055,561.721987,N/C,538,N/C,wrong_numeric,False,True,0.04409291263940523,23.721987000000013,
