id,question,cot,answer,unit
TD387,"A capacitor C = 5 μF is charged to 20 V. It is then connected in series with an uncharged capacitor C'. The entire circuit has a total voltage of 20 V. If the final charge on C is 30 μC, find C'.","Step 1: Identify the final charge on C as Q = 30 μC.
Step 2: Calculate the final voltage across C: V_C = Q / C = 30 μC / 5 μF = 6 V.
Step 3: Use the series rule for voltage: V_total = V_C + V_C'.
Step 4: Solve for the voltage across C': V_C' = 20 V - 6 V = 14 V.
Step 5: Since capacitors in series have the same charge, Q_C' = 30 μC.
Step 6: Calculate C': C' = Q_C' / V_C' = 30 μC / 14 V ≈ 2.14 μF.",2.140,μF
TD027,A parallel-plate capacitor with a capacitance of 47.93 pF is charged to a voltage of 70.1 V. Calculate the charge stored by the capacitor.,"Step 1: Identify the given values: C = 47.93 pF, V = 70.1 V.
Step 2: Convert the capacitance to SI units: C = 47.93 × 10^-12 F.
Step 3: Recall the formula for the charge (Q) stored on a capacitor: Q = C × V.
Step 4: The charge stored by the capacitor is approximately 3.36 nC.",3.36,nC
TD005,An air-filled parallel-plate capacitor with capacitance C = 2 pF is charged to a voltage U = 600 V. Calculate the charge Q of the capacitor.,"Step 1: Identify the given values from the question.
Step 2: Convert the capacitance from picofarads (pF) to farads (F): C = 2 pF = 2 × 10^-12 F.
Step 3: Recall the formula relating charge (Q), capacitance (C), and voltage (U): Q = C × U.
Step 4: The charge stored on the capacitor is 1.2 nC.",1.2,nC
TD069,A parallel-plate capacitor with a capacitance of 32.48 pF is charged to a voltage of 162.4 V. Calculate the charge stored by the capacitor.,"Step 1: Identify the given values: C = 32.48 pF, V = 162.4 V.
Step 2: Convert the capacitance to SI units: C = 32.48 × 10^-12 F.
Step 3: Recall the formula for the charge (Q) stored in a capacitor: Q = C × V.
Step 4: The charge stored by the capacitor is approximately 5.27 nC.",5.27,nC
TD061,An air parallel-plate capacitor has a capacitance of 12.71 pF and is charged to a potential difference of 57.2 V. Calculate the electric field energy stored in the capacitor.,"Step 1: Identify the given capacitance (C) and potential difference (V).
Step 2: Convert the capacitance from picofarads (pF) to farads (F).
Step 3: Use the formula for the electric field energy (U) stored in a capacitor: U = 0.5 × C × V^2.
Step 4: The electric field energy stored in the capacitor is approximately 20.8 nJ.",20.8,nJ
TD056,An air-filled parallel plate capacitor has a plate area of 47.7 cm² and the distance between the two plates is 1.33 mm. Calculate the capacitance of the capacitor.,"Step 1: Identify the given values: A = 47.7 cm^2, d = 1.33 mm.
Step 2: Convert the units to SI: A = 47.7 × 10^-4 m^2 and d = 1.33 × 10^-3 m.
Step 3: Recall the capacitance formula for a parallel-plate capacitor: C = κ × ε₀ × (A / d), where ε₀ is the permittivity of free space (approximately 8.854 × 10⁻¹² F/m for air).
Step 4: The capacitance of the capacitor is approximately 31.75 pF.",31.75,pF
TD034,A parallel-plate air capacitor has a capacitance of 22.53 pF and is charged to a potential difference of 20.5 V. Calculate the electric field energy stored in the capacitor.,"Step 1: Identify the given capacitance (C) and potential difference (V).
Step 2: Convert the capacitance from picofarads (pF) to farads (F).
Step 3: Use the formula for the electric field energy (U) stored in a capacitor: U = 0.5 × C × V^2.
Step 4: The electric field energy stored in the capacitor is approximately 4.73 nJ.",4.73,nJ
TD025,An air-filled parallel-plate capacitor has a capacitance of 49.11 pF and is charged to a potential difference of 66.3 V. Calculate the electric field energy stored in the capacitor.,"Step 1: Identify the given capacitance (C) as 49.11 pF and the potential difference (V) as 66.3 V.
Step 2: Recall the formula for the electric field energy (U) stored in a capacitor: U = (1 / 2) × (C × V^2).
Step 3: Convert the capacitance from picofarads (pF) to farads (F): C = 49.11 × 10^-12 F.
Step 4: The electric field energy stored in the capacitor is approximately 107.96 nJ.",107.96,nJ
TD363,A capacitor has a capacitance of 1 μF. What voltage must be applied to the capacitor for it to have a charge of 10 μC?,"Step 1: Identify the given capacitance C = 1 μF and charge Q = 10 μC.
Step 2: Use the formula relating charge, capacitance, and voltage: Q = C × V.
Step 3: Rearrange the formula to solve for voltage: V = Q / C.
Step 4: Substitute the values: V = 10 μC / 1 μF = 10 V.",10,V
TD021,A parallel-plate capacitor has a capacitance of 42.64 pF and is charged with a potential difference of 122.7 V. Calculate the electric charge that the capacitor stores.,"Step 1: Identify the given values: C = 42.64 pF, V = 122.7 V
Step 2: Convert the capacitance to SI units: C = 42.64 × 10^-12 F.
Step 3: The formula to calculate the electric charge (Q) stored in a capacitor is Q = C × V.
Step 4: The electric charge stored on the capacitor is approximately 5.23 nC.",5.23,nC
TD375,A capacitor has a capacitance of 4 μF. What voltage must be applied to it for it to store 1 mJ of energy?,"Step 1: Identify C = 4 μF and energy W = 1 mJ = 1000 μJ.
Step 2: Use the formula V = √(2W / C).
Step 3: Substitute the values: V = √(2 × 1000 × 10⁻⁶ / 4 × 10⁻⁶).
Step 4: Calculate: V = √500 ≈ 22.36 V.",22.36,V
TD167,A parallel-plate air capacitor has a capacitance of 27.62 pF and is charged to a potential difference of 108.8 V. Calculate the electric field energy stored in the capacitor. Give your answer rounded to onedecimal places.,"Step 1: Identify and convert the given values. The capacitance C = 27.62 × 10⁻¹² F and the voltage V = 108.8 V.
Step 2: State the formula for the energy stored in the electric field, U = 1/2 × C × V².
Step 3: Substitute the values into the formula.
U = 1/2 × (27.62 × 10⁻¹² F) × (108.8 V)² ≈ 163.4 nJ",163.4,nJ
