id,question,cot,answer,unit
NL386,A capacitor has a time-dependent voltage U(t) = 120sin(2000t) and a capacitance C = 10 µF. Calculate the maximum electric field energy.,"Step 1: Identify the given parameters: capacitance C = 10 µF and the time-dependent voltage equation U(t) = 120sin(2000t).
Step 2: Convert the capacitance to standard SI units: C = 10 × 10⁻⁶ F.
Step 3: Extract the maximum voltage (amplitude) U_max from the voltage equation U(t) = U_max × sin(ωt + φ). Here, U_max = 120 V.
Step 4: State the formula for the maximum energy stored in the electric field of a capacitor: W_max = (1/2) × C × U_max².
Step 5: Substitute the values into the formula: W_max = (1/2) × (10 × 10⁻⁶) × 120².
Step 6: Calculate the square of the maximum voltage: 120² = 14400.
Step 7: Perform the multiplication: W_max = 5 × 10⁻⁶ × 14400.
Step 8: The final calculation yields the maximum electric field energy: W_max = 72000 × 10⁻⁶ = 0.072 J.",0.072,J
NL391,A capacitor has a capacitance of 10 µF and a voltage of 200 V. Calculate the electric field energy stored in the capacitor.,"CoT:
Step 1: Identify the given values: Capacitance (C) = 10 µF = 10 × 10⁻⁶ F, and Voltage (V) = 200 V.
Step 2: State the formula for the electric field energy (U_E): U_E = (1/2) × C × V²
Step 3: Substitute the values into the formula: U_E = 1/2 × (10 × 10⁻⁶) × 200²
Step 4: Calculate the final result: U_E = 1/2× 10⁻⁵ × 40000 = 0.2 J.",0.2,J
NL322,An inductor has an inductance of 0.5 H. The current flowing through it is given by the expression I(t) = 2sin(100πt). What is the maximum magnetic field energy (J) of the inductor?,"Step 1: Identify the given inductance L = 0.5 H from the question.
Step 2: Identify the expression for the current flowing through the inductor: I(t) = 2sin(100πt)
Step 3: Determine the maximum current (I_max) from the given current expression I(t) = 2sin(100πt). The maximum value of sin(θ) is 1. Therefore, I_max = 2 A.
Step 4: Recall the formula for the energy (W) stored in an inductor: W = (1/2) × L × I². Therefore, W_max = (1/2) × L × I_max² = (1/2) × 0.5 × 2² = 1 J.",1,J
NL106,A capacitor has a voltage of 90 V and a stored energy of 3.645 mJ. Calculate the capacitance (μF).,"Step 1: Identify the given values: voltage (U) = 90 V and stored energy (E) = 3.645 mJ.
Step 2: Convert the stored energy from millijoules (mJ) to joules (J): E = 3.645 x 10⁻³ J.
Step 3: Use the formula for energy stored in a capacitor, E = (1/2)CU², and rearrange it to solve for capacitance (C): C = 2E / U².
Step 4: Substitute the given values into the formula: C = (2 × 3.645 x 10⁻³ J) / (90 V)², which calculates to C = 9 x 10⁻⁷ F = 0.90 μF.",0.90,μF
NL312,"In an ideal LC oscillation circuit, when the electric field energy reaches its maximum, what is the value of the magnetic field energy?","Step 1: An ideal LC oscillation circuit conserves total energy, meaning the sum of electric field energy and magnetic field energy is constant.
Step 2: The total energy in the circuit continuously oscillates between being stored in the capacitor as electric field energy and in the inductor as magnetic field energy.
Step 3: When the electric field energy in the capacitor reaches its maximum value, the capacitor is fully charged.
Step 4: At the moment the capacitor is fully charged and its electric field energy is maximum, the rate of change of charge (current) in the circuit must instantaneously be zero as the energy transfer reverses direction.
Step 5: Since the current in the circuit I = 0, the magnetic field energy: W_L = (1/2) × L × I^2 = 0.",0,J
NL016,An inductor has a current of 1.8 A and a magnetic field energy of 3.24 mJ. Calculate the inductance L (H).,"Step 1: Identify the given values from the question: Current (I) = 1.8 A and magnetic field energy (E) = 3.24 mJ.
Step 2: Convert the magnetic field energy from millijoules to joules: E = 3.24 mJ = 3.24 × 10⁻³ J.
Step 3: Recall the formula for the energy stored in an inductor: E = (1/2) × L × I², where L is the inductance.
Step 4: Rearrange the formula to solve for L: L = (2 × E) / I² = 0.002 H.",0.002,H
NL010,"An inductor has a current of 4 A, and its magnetic field energy is 3.2 mJ. Calculate its inductance (H).","Step 1: Identify the given values from the question. The current (I) in the inductor is 4 A, and the magnetic field energy (E) stored is 3.2 mJ.
Step 2: Recall the formula for the energy stored in an inductor: E = (1/2) × L × I^2, where L is the inductance.
Step 3: Convert the energy from milli-Joules (mJ) to Joules (J): E = 3.2 × 10^-3 J.
Step 4: Rearrange the formula to solve for the inductance (L): L = 2E / I^2 = 0.0004 H.",0.0004,H
NL017,A capacitor has a capacitance C = 12 μF and stores 1.8 mJ of energy. Calculate the voltage U (V) across it (round the result to two decimal places).,"Step 1: The mathematical relationship defining the energy stored in a capacitor is E = 0.5 × C × U^2, where E represents the stored energy, C represents the capacitance, and U represents the potential difference.
Step 2: Rearranging the standard energy equation to mathematically isolate and solve for the potential difference yields the expression U = sqrt(2 × E / C).
Step 3: Substituting the explicitly specified parameters E = 1.8 × 10^-3 J and C = 12 × 10^-6 F into the derived relationship yields U = sqrt(2 × 1.8 × 10^-3 / (12 × 10^-6)) V.
Step 4: Evaluating the mathematical expression simplifies the radicand to exactly 300, establishing U = sqrt(300) V, or approximately 17.32 V.",17.32,V
NL352,A coil has an inductance of 0.6 H and a current of 2 A. What is the magnetic field energy (J)?,"Step 1: Identify the given inductance (L) from the question, which is 0.6 H.
Step 2: Identify the given current (I) from the question, which is 2 A.
Step 3: Recall the formula for the magnetic energy (W_L) stored in an inductor: W_L = (1/2) × L × I^2.
Step 4: Substitute the given values into the formula: W_L = (1/2) × 0.6 H × (2 A)^2 = 1.2 J.",1.2,J
NL335,"A capacitor with a capacitance of 2 µF is charged and then disconnected from the source. If the distance between the plates is quadrupled, how many times the initial energy is the new electric field energy?","Step 1: The electric capacitance C of an ideal parallel-plate capacitor is mathematically defined by the algebraic equation C = (epsilon_0 × A) / d, where d represents the explicit separation distance between the conductive plates.
Step 2: The instantaneous electric field energy W_C localized within the capacitor is mathematically defined by the algebraic equation W_C = 1/2 × Q^2 / C, where the parameter Q representing the electric charge remains strictly constant due to the physical disconnection from the charging source.
Step 3: Quadrupling the defined physical parameter d to the algebraic quantity 4 × d mathematically modifies the instantaneous capacitance strictly to the composite equation C' = (epsilon_0 × A) / (4 × d), which algebraically simplifies to C' = 0.25 × C.
Step 4: Substituting the modified capacitance parameter into the defined energy relationship yields the algebraic expression W_C' = 1/2 × Q^2 / (0.25 × C), which mathematically simplifies strictly to 4 × (1/2 × Q^2 / C) = 4 × W_C. The final calculated new electric field energy is exactly 4 times the initial energy.",4,-
