id,question,cot,answer,unit
THCB001,"An ammeter has a measuring range of 2 A and a least count of 0.1 A. When measuring the current through a light bulb, the reading is 1.2 A. What is the absolute error?","Step 1: Identify the given least count of the ammeter.
 Step 2: The least count of a measuring instrument represents the smallest division it can accurately read, and for aStep 1: Identify the least count of the instrument, which is given as 0.1 A.
Step 2: In measurement theory, when a specific absolute error is not otherwise provided, the absolute error (ΔI) is taken to be equal to the least count of the instrument.
Step 3: Note the reading of 1.2 A.
Step 4: Determine the absolute error: ΔI = 0.1 A. single measurement, this value is typically considered the absolute error or uncertainty associated with the instrument's precision.
 Step 3: The least count of the ammeter is given as 0.1 A.
 Step 4: Therefore, the absolute error is 0.1 A.",0.1,A
THCB002,A voltmeter with a least count of 0.2 V reads 5.6 V. What is the relative error of the measurement?,"Step 1: Identify the measured value V = 5.6 V.
Step 2: Identify the absolute error (ΔV), which is equal to the least count of 0.2 V.
Step 3: Apply the formula for relative error: δV = ΔV / V.
Step 4: Calculate the value: δV = 0.2 / 5.6 ≈ 0.0357 (or 3.57%).",3.57,%
THCB003,"Resistance R is calculated using the formula R = U/I, where U = 6.0 ± 0.1 V and I = 0.3 ± 0.01 A. What is the absolute error of R?","Step 1: Identify given values: U = 6.0 V, ΔU = 0.1 V, I = 0.3 A, and ΔI = 0.01 A.
Step 2: Calculate the nominal resistance: R = U / I = 6.0 / 0.3 = 20 Ω.
Step 3: Calculate the total relative error for a quotient (R = U/I): δR = δU + δI = (ΔU / U) + (ΔI / I).
Step 4: Substitute values: δR = (0.1 / 6.0) + (0.01 / 0.3) ≈ 0.0167 + 0.0333 = 0.05.
Step 5: Calculate absolute error of R: ΔR = R ⋅ δR = 20 ⋅ 0.05 = 1.0 Ω.",1.0,Ω
THCB004,"When measuring the current through a resistor, a value of 0.25 A was obtained with an uncertainty of ±0.01 A. What is the maximum possible current?","Step 1: Identify the measured current value as 0.25 A.
Step 2: Identify the uncertainty (absolute error) as ±0.01 A.
Step 3: Determine the upper bound of the measurement range by adding the uncertainty to the measured value.
Step 4: Calculate the maximum current: I_max = 0.25 + 0.01 = 0.26 A.",0.26,A
THCB005,"In an experiment, the measured voltage was 9.5 ± 0.2 V, and the measured current was 0.95 ± 0.02 A. What is the relative error in the power?","Step 1: Identify given values: Voltage V = 9.5 V, ΔV = 0.2 V; Current I = 0.95 A, ΔI = 0.02 A.
Step 2: Since Power P = V ⋅ I, the relative error of a product is the sum of the relative errors of its components.
Step 3: Calculate relative error of Voltage: δV = ΔV / V = 0.2 / 9.5 ≈ 0.02105.
Step 4: Calculate relative error of Current: δI = ΔI / I = 0.02 / 0.95 ≈ 0.02105.
Step 5: Calculate total relative error in Power: δP = δV + δI = 0.02105 + 0.02105 ≈ 0.0421 (or 4.21%).",4.21,%
THCB006,"If the actual resistance is 10.2 Ω but the measured value is 9.8 Ω, what is the absolute error?","Step 1: Identify Actual Value = 10.2 Ω and Measured Value = 9.8 Ω.
Step 2: Use the formula for absolute error: ΔR = |Actual Value - Measured Value|.
Step 3: Substitute the values: ΔR = |10.2 - 9.8|.
Step 4: Final calculation: ΔR = 0.4 Ω.",0.4,Ω
THCB007,"A student measures the current 3 times and obtains the values: 1.8 A, 2.0 A, 2.2 A. What is the random error?","Step 1: List the measurements: 1.8 A, 2.0 A, 2.2 A.
Step 2: Calculate the mean value (I_avg): (1.8 + 2.0 + 2.2) / 3 = 6.0 / 3 = 2.0 A.
Step 3: Find the maximum absolute deviation from the mean: ΔI1 = |1.8 - 2.0| = 0.2 A; ΔI2 = |2.0 - 2.0| = 0 A; ΔI3 = |2.2 - 2.0| = 0.2 A.
Step 4: The random error (often represented by the average or maximum deviation) is ΔI = 0.2 A.",0.2,A
THCB008,"When measuring voltage with a voltmeter, the result is 6.3 ± 0.1 V. If this is used to calculate power with a current of 0.6 ± 0.02 A, what is the absolute error of the power?","Step 1: Identify values: V = 6.3 V, ΔV = 0.1 V, I = 0.6 A, ΔI = 0.02 A.
Step 2: Use the absolute error propagation formula for a product P = V ⋅ I: ΔP = V ⋅ ΔI + I ⋅ ΔV.
Step 3: Calculate the first term: 6.3 ⋅ 0.02 = 0.126.
Step 4: Calculate the second term: 0.6 ⋅ 0.1 = 0.06.
Step 5: Sum the terms: ΔP = 0.126 + 0.06 = 0.186 W.",0.19,W
THCB009,"In a series circuit, resistance R1 = 10 ± 0.5 Ω, R2 = 20 ± 1 Ω. What is the absolute error of the total resistance?","Step 1: Identify resistances and errors: R1 = 10 Ω, ΔR1 = 0.5 Ω; R2 = 20 Ω, ΔR2 = 1 Ω.
Step 2: For a sum (R_total = R1 + R2), the absolute error is the sum of the individual absolute errors.
Step 3: Apply the formula: ΔR_total = ΔR1 + ΔR2.
Step 4: Calculate the total: ΔR_total = 0.5 + 1 = 1.5 Ω.",1.5,Ω
THCB010,"If the actual resistance is 10.2 Ω but the measured value is 9.8 Ω, what is the relative error?","Step 1: Identify the Actual Value = 10.2 Ω and the Measured Value = 9.8 Ω.
Step 2: Calculate the Absolute Error (ΔR) using the formula: ΔR = |Actual Value - Measured Value|.
Step 3: Substitute the values: ΔR = |10.2 - 9.8| = 0.4 Ω.
Step 4: Calculate the Relative Error (δR) using the formula: δR = (Absolute Error / Actual Value) ⋅ 100%.
Step 5: Final calculation: δR = (0.4 / 10.2) ⋅ 100% ≈ 3.92%.",3.92,%
THCB066,"A voltage source of U = 9V. Two lamps are connected in parallel, and each lamp has a resistance R = 9Ω. Calculate the current through each lamp and the total current.","Step 1: Identify that lamps are in parallel. If the series variable resistor is set to 0 Ohms, each lamp receives the full 9V.
Step 2: Calculate the current through lamp 1: I1 = V / R = 9V / 9Ω = 1.0 A.
Step 3: Calculate the current through lamp 2: I2 = V / R = 9V / 9Ω = 1.0 A.
Step 4: Calculate total current (reading on A1): I_total = I1 + I2 = 1.0 A + 1.0 A = 2.0 A.",I_D₁ = 1.0; I_D₂ = 1.0; I_total = 2.0,A; A; A
THCB067,"In a parallel circuit with two lamps, the current through D₁ is 0.4 A, and the total current is 1.0 A. Calculate the current through D₂.","Step 1: Use Kirchhoff's Current Law for parallel circuits: Total Current (A1) = I1 + I2.
Step 2: Identify the given values: I_total (A1) = 1.0 A and I1 = 0.4 A.
Step 3: Solve for the current through D2 (measured by A2): I2 = I_total - I1.
Step 4: Calculation: I2 = 1.0 A - 0.4 A = 0.6 A.",I_D₂ = 0.6,A
THCB068,An 8Ω lamp is connected in parallel with a 16Ω lamp. A voltage of 8V is applied across them. Calculate the total current in the circuit.,"Step 1: Calculate parallel resistance (Rp): (8 × 16) / (8 + 16) = 128 / 24 = 5.33 Ω.
Step 2: Assuming the series variable resistor is 0 Ω, the total current (A1) is I = V / Rp.
Step 3: Calculation: I_total = 8V / 5.33Ω = 1.5 A.",I_total = 1.5,A
THCB069,"If both lamps glow brightly and are identical, with a supply voltage U = 6V, calculate the current through each lamp, given R = 6Ω.","Step 1: In a parallel circuit, each lamp receives the source voltage (if series resistance is negligible).
Step 2: Use Ohm's Law for one lamp: I = V / R = 6V / 6Ω = 1.0 A.
Step 3: Since lamps are identical, both branches draw 1.0 A",I_D = 1.0,A
THCB070,"Two lamps are connected in parallel, with a total current of 1.2 A. If lamp D₁ is removed, what will be the total current (given that lamp D₂ draws 0.5 A)?","Step 1: In a parallel circuit, removing one lamp stops the current in that specific branch.
Step 2: The current through the remaining functional branch (D2) remains 0.5 A.
Step 3: Therefore, the new total current (A1) will simply be equal to the current of the remaining branch.
Step 4: Final calculation: Total current = 0.5 A.",I_total_new = 0.5,A
THCB071,"In an electrical circuit, if the resistance of branch D₂ decreases, how will the current through D₂ change?","Step 1: According to Ohm's Law (I = V / R), current is inversely proportional to resistance.
Step 2: As the resistance of branch D2 decreases, the current flowing through that branch (A2) will increase.
Step 3: This will also lead to an increase in the total current measured at A1.",Resistance decreases → current increases.,—
